,Price,Year,Mileage,City,State,Vin,Make,Model
339092,43685,2016,42277,Warminster, PA,1FTEW1EG9GFA94998,Ford,F-1504WD
339093,35800,2011,81678,West Valley, UT,1FTFW1R60BFB92168,Ford,F-1504WD
339094,19995,2010,100202,Albuquerque, NM,1FTFW1EV2AFD79536,Ford,F-1504WD
339095,23879,2011,43765,Odessa, TX,1FTFW1E63BFA50158,Ford,F-1504WD
339102,22289,2011,77986,DICKSON, TN,1FTFW1EF5BFC62883,Ford,F-1504WD
339104,33878,2014,40824,South Bend, IN,1FTFW1EF6EKF64632,Ford,F-1504WD
339105,43750,2016,38601,Raleigh, NC,1FTEW1EP6GFA49761,Ford,F-1504WD
339106,43000,2015,34278,Daphne, AL,1FTEW1EF3FFA67821,Ford,F-1504WD
339110,37990,2011,50430,Edgewater Park, NJ,1FTFW1R68BFA64146,Ford,F-1504WD
339114,41000,2011,43675,Bullhead City, AZ,1FTFW1R64BFD32383,Ford,F-1504WD
339118,37295,2012,77293,Dearborn, MI,1FTFW1R69CFC93436,Ford,F-1504WD
339119,42900,2016,34402,Rahway, NJ,1FTEW1EF1GFA02872,Ford,F-1504WD
339120,32995,2012,32935,Seattle, WA,1FTFW1ET7CKD76043,Ford,F-1504WD
339123,36999,2016,28556,Cary, NC,1FTEW1EP0GFB00137,Ford,F-1504WD
339125,45626,2015,18561,Virginia Beach, VA,1FTEW1EFXFFC71807,Ford,F-1504WD
339126,35988,2012,83343,Englewood, CO,1FTEX1R65CFA71498,Ford,F-1504WD
339128,38000,2014,87315,Frederick, MD,1FTFX1R69EFC87233,Ford,F-1504WD
339130,11875,2004,175700,Roseville, CA,1FTPW14564KC06636,Ford,F-1504WD
339132,21997,2011,80610,Joplin, MO,1FTFW1ET6BFC92531,Ford,F-1504WD
339133,17757,2007,87462,Abington, MA,1FTPW14517FA87276,Ford,F-1504WD
339137,45770,2016,20,Mesa, AZ,1FTFW1EF3GFC42123,Ford,F-1504WD
339139,25899,2012,83443,Richmond, VA,1FTFW1ET0CKD07954,Ford,F-1504WD
339140,35900,2014,16831,Kernersville, NC,1FTFW1ET7EKD16900,Ford,F-1504WD
339142,44035,2015,16802,Corpus Christi, TX,1FTEW1EGXFKE08454,Ford,F-1504WD
339145,42497,2015,30882,Fond du Lac, WI,1FTEW1EG3FFC98372,Ford,F-1504WD
339147,45559,2016,11320,Dallas, TX,1FTEW1EF4GKF31353,Ford,F-1504WD
339149,42950,2016,51528,San Antonio, TX,1FTFW1EG8GFA45912,Ford,F-1504WD
339151,43900,2015,21607,Winnsboro, LA,1FTEW1EGXFKD41502,Ford,F-1504WD
339153,20995,2011,83059,Mt Pleasant, MI,1FTFW1EF5BFA80214,Ford,F-1504WD
339160,42997,2014,26310,Roseville, CA,1FTFW1ET1EKG50307,Ford,F-1504WD
339168,22533,2012,82235,Greeneville, TN,1FTFX1ET5CFB33627,Ford,F-1504WD
339170,43000,2016,43598,Monroe, WI,1FTFW1EFXGFA98487,Ford,F-1504WD
339171,37000,2015,11769,Hanover, MA,1FTEW1EF6FFC17811,Ford,F-1504WD
339172,15000,2005,120551,Asheville, NC,1FTPX04525KE93935,Ford,F-1504WD
339173,43800,2015,17173,Hurst, TX,1FTEW1EF0FFA15000,Ford,F-1504WD
339176,17750,2010,121652,Oconomowoc, WI,1FTFW1EV2AFD16646,Ford,F-1504WD
339177,19983,2009,88154,Cedar City, UT,1FTPW14V59FA50055,Ford,F-1504WD
339179,45500,2016,21686,Salt Lake City, UT,1FTEW1EF7GFB44000,Ford,F-1504WD
339180,43952,2015,29242,Albuquerque, NM,1FTEW1EG8FKD10863,Ford,F-1504WD
339182,29998,2014,30025,Savannah, Ga,1FTFX1EF9EFC49846,Ford,F-1504WD
339186,22895,2012,74908,Orlando, FL,1FTFW1EFXCFA80341,Ford,F-1504WD
339187,42999,2015,25387,Merced, CA,1FTFW1EG1FFA35964,Ford,F-1504WD
339190,19990,2009,78435,Ansonia, CT,1FTRX14889KB51050,Ford,F-1504WD
339195,41630,2015,53798,Buford, GA,1FTEW1EF9FFA03900,Ford,F-1504WD
339197,19319,2009,105217,Logan, UT,1FTRW14819FA05522,Ford,F-1504WD
339201,41995,2015,47469,Albuquerque, NM,1FTEW1EF9FKD58234,Ford,F-1504WD
339206,17995,2007,128657,Sneads Ferry, NC,1FTPW14V87KC79754,Ford,F-1504WD
339207,27791,2012,88268,Bensenville, IL,1FTFW1E66CFB17773,Ford,F-1504WD
339208,34795,2014,48712,San Antonio, TX,1FTFW1ET8EKF46610,Ford,F-1504WD
339212,35995,2014,20876,Goldsboro, NC,1FTFW1ET2EKF71793,Ford,F-1504WD
339213,8995,2006,185266,Tyler, TX,1FTPX14V46NB45642,Ford,F-1504WD
339214,45670,2016,21601,Austin, TX,1FTEW1EG6GKD52840,Ford,F-1504WD
339219,43595,2015,28632,Sterling Heights, MI,1FTEW1EGXFFA69929,Ford,F-1504WD
339240,43700,2016,35825,Shelbyville, KY,1FTEW1EGXGFA67910,Ford,F-1504WD
339241,43383,2015,31328,Sulphur Springs, TX,1FTEW1EGXFKD95768,Ford,F-1504WD
339242,46520,2016,10000,Corpus Christi, TX,1FTEW1EF9GKD52452,Ford,F-1504WD
339247,31988,2016,11265,Jacksonville, FL,1FTFX1EF5GFD60719,Ford,F-1504WD
339248,37995,2014,90358,King George, VA,1FTFW1R62EFC92681,Ford,F-1504WD
339250,44898,2016,21125,Houston, TX,1FTEW1EF5GKD27189,Ford,F-1504WD
339251,38900,2016,150,Randolph, NJ,1FTFX1EF4GFB60589,Ford,F-1504WD
339258,45567,2015,19685,Highlands Ranch, CO,1FTEW1EG6FFB68988,Ford,F-1504WD
339262,42884,2015,37316,Missoula, MT,1FTFW1EGXFFA57879,Ford,F-1504WD
339263,43999,2015,29464,Gladstone, MO,1FTEW1EG0FFD08369,Ford,F-1504WD
339267,44497,2016,16720,Fond du Lac, WI,1FTFW1EF2GFC50536,Ford,F-1504WD
339270,45777,2015,12388,Tacoma, WA,1FTEW1EG5FFC97840,Ford,F-1504WD
339273,44998,2016,20573,Half Moon Bay, CA,1FTEW1EG9GKD12199,Ford,F-1504WD
339276,30000,2016,27859,Brockton, MA,1FTEX1EPXGFB17203,Ford,F-1504WD
339281,11980,2003,124157,Hendersonville, NC,1FTRW08L13KB60854,Ford,F-1504WD
339287,31511,2012,52652,Clovis, NM,1FTFW1EF3CFC35151,Ford,F-1504WD
339290,34988,2012,97074,Dickinson, ND,1FTFW1R65CFB94998,Ford,F-1504WD
339293,43949,2016,38120,Lockhart, TX,1FTEW1EG1GKD43267,Ford,F-1504WD
339297,42497,2015,32586,Fond du Lac, WI,1FTEW1EG1FFC98371,Ford,F-1504WD
339302,40945,2015,51815,Thomasville, GA,1FTEW1EFXFFA79111,Ford,F-1504WD
339312,43980,2015,29493,Raleigh, NC,1FTEW1EF6FFB28661,Ford,F-1504WD
339316,35947,2011,77294,Buffalo Grove, IL,1FTFW1R61BFB11842,Ford,F-1504WD
339318,22995,2011,70612,Nevada, MO,1FTFW1ET5BFC49976,Ford,F-1504WD
339323,10995,2005,159024,Higginsville, MO,1FTPW14575KE05079,Ford,F-1504WD
339330,46645,2016,10475,Conway, AR,1FTEW1EF2GKE08778,Ford,F-1504WD
339332,41995,2015,51138,Charlotte, NC,1FTEW1EF1FFC52370,Ford,F-1504WD
339335,17995,2009,103985,Blue Springs, MO,1FTPW14V89FA48459,Ford,F-1504WD
339336,43991,2015,44479,Plano, TX,1FTEW1EG3FFA09832,Ford,F-1504WD
339337,16795,2010,138238,Anderson, IN,1FTFX1EV1AFB53968,Ford,F-1504WD
339340,24981,2011,209592,Corpus Christi, TX,1FTFW1R65BFA72124,Ford,F-1504WD
339342,23977,2009,75255,Tacoma, WA,1FTPW14V09FB37443,Ford,F-1504WD
339343,44991,2016,24850,Millington, TN,1FTEW1EF2GKE58497,Ford,F-1504WD
339345,42995,2016,45542,Breaux Bridge, LA,1FTEW1EF2GFB08165,Ford,F-1504WD
339348,9975,2005,179801,Plattsmouth, NE,1FTPW14585KC65270,Ford,F-1504WD
339350,34500,2014,35984,NASHVILLE, TN,1FTFX1ET9EFB59733,Ford,F-1504WD
339352,38995,2012,49530,Stafford, VA,1FTFW1R6XCFA73142,Ford,F-1504WD
339354,28900,2014,24600,South Jordan, UT,1FTFX1ET6EFC21721,Ford,F-1504WD
339356,44997,2016,11674,Fort Worth, TX,1FTEW1EF3GFC42408,Ford,F-1504WD
339359,43995,2015,27662,Wilmington, DE,1FTEW1EG5FFA13753,Ford,F-1504WD
339361,37299,2012,70059,Carrollton, TX,1FTFW1R68CFB08356,Ford,F-1504WD
